,Unnamed: 0,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
0,1,Gianluigi Donnarumma,"€ 213,654","€ 11,110,000","€ 11,318,177",K,20,Italy,Ac Milan,Serie A,2019-2020
1,2,Alessio Romagnoli,"€ 124,615","€ 6,480,000","€ 6,601,421",D,24,Italy,Ac Milan,Serie A,2019-2020
2,3,Lucas Biglia,"€ 124,615","€ 6,480,000","€ 6,601,421",M,33,Argentina,Ac Milan,Serie A,2019-2020
3,4,Pepe Reina,"€ 106,923","€ 5,560,000","€ 5,664,182",K,37,Spain,Ac Milan,Serie A,2019-2020
4,5,Suso,"€ 106,923","€ 5,560,000","€ 5,664,182",F,25,Spain,Ac Milan,Serie A,2019-2020
5,6,Hakan Calhanoglu,"€ 89,038","€ 4,630,000","€ 4,716,756",F,25,Turkey,Ac Milan,Serie A,2019-2020
6,7,Fabio Borini,"€ 89,038","€ 4,630,000","€ 4,716,756",F,28,Italy,Ac Milan,Serie A,2019-2020
7,8,Franck Kessié,"€ 78,269","€ 4,070,000","€ 4,146,263",M,22,Cote d'Ivoire,Ac Milan,Serie A,2019-2020
8,9,Mattia Caldara,"€ 78,269","€ 4,070,000","€ 4,146,263",D,25,Italy,Ac Milan,Serie A,2019-2020
9,10,Ricardo Rodríguez,"€ 74,808","€ 3,890,000","€ 3,962,890",D,27,Switzerland,Ac Milan,Serie A,2019-2020
10,11,Ante Rebic,"€ 74,038","€ 3,850,000","€ 3,922,141",F,25,Croatia,Ac Milan,Serie A,2019-2020
11,12,Zlatan Ibrahimovic,"€ 74,038","€ 3,850,000","€ 3,922,141",F,38,Sweden,Ac Milan,Serie A,2019-2020
12,13,Mateo Musacchio,"€ 71,154","€ 3,700,000","€ 3,769,330",D,29,Argentina,Ac Milan,Serie A,2019-2020
13,14,Andrea Conti,"€ 71,154","€ 3,700,000","€ 3,769,330",D,25,Italy,Ac Milan,Serie A,2019-2020
14,15,Giacomo Bonaventura,"€ 71,154","€ 3,700,000","€ 3,769,330",M,30,Italy,Ac Milan,Serie A,2019-2020
15,16,Krzysztof Piatek,"€ 64,038","€ 3,330,000","€ 3,392,397",F,24,Poland,Ac Milan,Serie A,2019-2020
16,17,Lucas Paquetá,"€ 60,577","€ 3,150,000","€ 3,209,024",F,22,Brazil,Ac Milan,Serie A,2019-2020
17,18,Samu Castillejo,"€ 53,462","€ 2,780,000","€ 2,832,091",F,24,Spain,Ac Milan,Serie A,2019-2020
18,19,Ismaël Bennacer,"€ 53,462","€ 2,780,000","€ 2,832,091",M,21,Algeria,Ac Milan,Serie A,2019-2020
19,20,Diego Laxalt,"€ 49,808","€ 2,590,000","€ 2,638,531",M,26,Uruguay,Ac Milan,Serie A,2019-2020
20,21,Rade Krunic,"€ 39,231","€ 2,040,000","€ 2,078,225",M,25,Bosnia-Herzegovina,Ac Milan,Serie A,2019-2020
21,22,Theo Hernández,"€ 36,923","€ 1,920,000","€ 1,955,977",D,21,France,Ac Milan,Serie A,2019-2020
22,23,Davide Calabria,"€ 35,577","€ 1,850,000","€ 1,884,665",D,22,Italy,Ac Milan,Serie A,2019-2020
23,24,Antonio Donnarumma,"€ 35,577","€ 1,850,000","€ 1,884,665",K,29,Italy,Ac Milan,Serie A,2019-2020
24,25,Rafael Leão,"€ 34,615","€ 1,800,000","€ 1,833,728",F,20,Portugal,Ac Milan,Serie A,2019-2020
25,26,Alexis Saelemaekers,"€ 25,000","€ 1,300,000","€ 1,324,359",M,20,Belgium,Ac Milan,Serie A,2019-2020
26,27,Léo Duarte,"€ 24,615","€ 1,280,000","€ 1,303,984",D,23,Brazil,Ac Milan,Serie A,2019-2020
27,28,Simon Kjaer,"€ 24,615","€ 1,280,000","€ 1,303,984",D,30,Denmark,Ac Milan,Serie A,2019-2020
