,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Mattia Destro,"€ 71,154","€ 3,700,000","€ 3,769,330",F,28,Italy,Bologna,Serie A,2019-2020
2,Nicolás Domínguez,"€ 62,500","€ 3,250,000","€ 3,310,898",M,21,Argentina,Bologna,Serie A,2019-2020
3,Blerim Dzemaili,"€ 42,692","€ 2,220,000","€ 2,261,598",M,33,Switzerland,Bologna,Serie A,2019-2020
4,Gary Medel,"€ 36,923","€ 1,920,000","€ 1,955,977",M,32,Chile,Bologna,Serie A,2019-2020
5,Nicola Sansone,"€ 36,923","€ 1,920,000","€ 1,955,977",F,28,Italy,Bologna,Serie A,2019-2020
6,Roberto Soriano,"€ 36,923","€ 1,920,000","€ 1,955,977",M,28,Italy,Bologna,Serie A,2019-2020
7,Andrea Poli,"€ 35,577","€ 1,850,000","€ 1,884,665",M,29,Italy,Bologna,Serie A,2019-2020
8,Federico Santander,"€ 35,577","€ 1,850,000","€ 1,884,665",F,28,Paraguay,Bologna,Serie A,2019-2020
9,Riccardo Orsolini,"€ 35,577","€ 1,850,000","€ 1,884,665",F,22,Italy,Bologna,Serie A,2019-2020
10,Rodrigo Palacio,"€ 35,577","€ 1,850,000","€ 1,884,665",F,37,Argentina,Bologna,Serie A,2019-2020
11,Lukasz Skorupski,"€ 32,115","€ 1,670,000","€ 1,701,292",K,28,Poland,Bologna,Serie A,2019-2020
12,Mitchell Dijks,"€ 28,462","€ 1,480,000","€ 1,507,732",D,26,Netherlands,Bologna,Serie A,2019-2020
13,Ibrahima Mbaye,"€ 26,731","€ 1,390,000","€ 1,416,046",D,24,Senegal,Bologna,Serie A,2019-2020
14,Andreas Skov Olsen,"€ 19,808","€ 1,030,000","€ 1,049,300",F,19,Denmark,Bologna,Serie A,2019-2020
15,Danilo,"€ 19,808","€ 1,030,000","€ 1,049,300",D,35,Brazil,Bologna,Serie A,2019-2020
16,Stefano Denswil,"€ 19,808","€ 1,030,000","€ 1,049,300",D,26,Netherlands,Bologna,Serie A,2019-2020
17,Ladislav Krejci,"€ 19,615","€ 1,020,000","€ 1,039,113",F,27,Czech Republic,Bologna,Serie A,2019-2020
18,Mattias Svanberg,"€ 17,885","€ 930,000","€ 947,426",M,20,Sweden,Bologna,Serie A,2019-2020
19,Mattia Bani,"€ 17,885","€ 930,000","€ 947,426",D,25,Italy,Bologna,Serie A,2019-2020
20,Nehuén Paz,"€ 15,962","€ 830,000","€ 845,552",D,26,Argentina,Bologna,Serie A,2019-2020
21,Takehiro Tomiyasu,"€ 14,808","€ 770,000","€ 784,428",D,20,Japan,Bologna,Serie A,2019-2020
22,Angelo da Costa,"€ 12,500","€ 650,000","€ 662,180",K,35,Brazil,Bologna,Serie A,2019-2020
23,Jerdy Schouten,"€ 12,308","€ 640,000","€ 651,992",M,22,Netherlands,Bologna,Serie A,2019-2020
24,Gabriele Corbo,"€ 10,769","€ 560,000","€ 570,493",D,19,Italy,Bologna,Serie A,2019-2020
25,Musa Barrow,"€ 8,846","€ 460,000","€ 468,619",F,21,The Gambia,Bologna,Serie A,2019-2020
26,Mouhamadou Sarr,"€ 1,346","€ 70,000","€ 71,312",K,22,Senegal,Bologna,Serie A,2019-2020
27,Sebastian Breza,"€ 1,154","€ 60,000","€ 61,124",K,21,Canada,Bologna,Serie A,2019-2020
