,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Mario Balotelli,"€ 36,923","€ 1,920,000","€ 1,955,977",F,29,Italy,Brescia,Serie A,2019-2020
2,Alessandro Matri,"€ 35,577","€ 1,850,000","€ 1,884,665",F,35,Italy,Brescia,Serie A,2019-2020
3,Alfredo Donnarumma,"€ 21,346","€ 1,110,000","€ 1,130,799",F,28,Italy,Brescia,Serie A,2019-2020
4,Giangiacomo Magnani,"€ 21,346","€ 1,110,000","€ 1,130,799",D,23,Italy,Brescia,Serie A,2019-2020
5,Rômulo,"€ 21,346","€ 1,110,000","€ 1,130,799",D,32,Italy,Brescia,Serie A,2019-2020
6,Ernesto Torregrossa,"€ 15,962","€ 830,000","€ 845,552",F,27,Italy,Brescia,Serie A,2019-2020
7,Daniele Dessena,"€ 14,231","€ 740,000","€ 753,866",M,32,Italy,Brescia,Serie A,2019-2020
8,Jesse Joronen,"€ 12,308","€ 640,000","€ 651,992",K,26,Finland,Brescia,Serie A,2019-2020
9,Daniele Gastaldello,"€ 10,769","€ 560,000","€ 570,493",D,36,Italy,Brescia,Serie A,2019-2020
10,Luca Tremolada,"€ 10,769","€ 560,000","€ 570,493",F,27,Italy,Brescia,Serie A,2019-2020
11,Stefano Sabelli,"€ 8,846","€ 460,000","€ 468,619",D,26,Italy,Brescia,Serie A,2019-2020
12,Bruno Martella,"€ 8,846","€ 460,000","€ 468,619",D,27,Italy,Brescia,Serie A,2019-2020
13,Dimitri Bisoli,"€ 8,846","€ 460,000","€ 468,619",M,25,Italy,Brescia,Serie A,2019-2020
14,Sandro Tonali,"€ 8,846","€ 460,000","€ 468,619",M,19,Italy,Brescia,Serie A,2019-2020
15,Birkir Bjarnason,"€ 8,462","€ 440,000","€ 448,245",M,31,Iceland,Brescia,Serie A,2019-2020
16,Emanuele Ndoj,"€ 7,115","€ 370,000","€ 376,933",M,22,Albania,Brescia,Serie A,2019-2020
17,Enrico Alfonso,"€ 7,115","€ 370,000","€ 376,933",K,31,Italy,Brescia,Serie A,2019-2020
18,Leonardo Morosini,"€ 7,115","€ 370,000","€ 376,933",F,23,Italy,Brescia,Serie A,2019-2020
19,Simon Skrabb,"€ 6,538","€ 340,000","€ 346,371",F,25,Finland,Brescia,Serie A,2019-2020
20,Jaromir Zmrhal,"€ 6,154","€ 320,000","€ 325,996",M,26,Czech Republic,Brescia,Serie A,2019-2020
21,Nikolas Spalek,"€ 5,385","€ 280,000","€ 285,247",F,22,Slovakia,Brescia,Serie A,2019-2020
22,Florian Ayé,"€ 3,654","€ 190,000","€ 193,560",F,22,France,Brescia,Serie A,2019-2020
23,Jhon Chancellor,"€ 3,654","€ 190,000","€ 193,560",D,27,Venezuela,Brescia,Serie A,2019-2020
24,Andrea Cistana,"€ 3,654","€ 190,000","€ 193,560",D,22,Italy,Brescia,Serie A,2019-2020
25,Mattia Viviani,"€ 3,654","€ 190,000","€ 193,560",M,19,Italy,Brescia,Serie A,2019-2020
26,Alessandro Semprini,"€ 3,654","€ 190,000","€ 193,560",D,21,Italy,Brescia,Serie A,2019-2020
27,Ales Mateju,"€ 3,654","€ 190,000","€ 193,560",D,23,Czech Republic,Brescia,Serie A,2019-2020
28,Felipe Curcio,"€ 2,885","€ 150,000","€ 152,811",D,26,Brazil,Brescia,Serie A,2019-2020
29,Massimiliano Mangraviti,"€ 1,346","€ 70,000","€ 71,312",D,21,Italy,Brescia,Serie A,2019-2020
30,Lorenzo Andrenacci,"€ 1,346","€ 70,000","€ 71,312",K,24,Italy,Brescia,Serie A,2019-2020
