,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Franck Ribéry,"€ 98,654","€ 5,130,000","€ 5,226,125",F,36,France,Fiorentina,Serie A,2019-2020
2,Patrick Cutrone,"€ 78,269","€ 4,070,000","€ 4,146,263",F,22,Italy,Fiorentina,Serie A,2019-2020
3,Federico Chiesa,"€ 60,577","€ 3,150,000","€ 3,209,024",F,21,Italy,Fiorentina,Serie A,2019-2020
4,Dalbert,"€ 42,692","€ 2,220,000","€ 2,261,598",D,26,Brazil,Fiorentina,Serie A,2019-2020
5,Germán Pezzella,"€ 42,692","€ 2,220,000","€ 2,261,598",D,28,Argentina,Fiorentina,Serie A,2019-2020
6,Martín Cáceres,"€ 42,692","€ 2,220,000","€ 2,261,598",D,32,Uruguay,Fiorentina,Serie A,2019-2020
7,Marco Benassi,"€ 39,231","€ 2,040,000","€ 2,078,225",M,25,Italy,Fiorentina,Serie A,2019-2020
8,Milan Badelj,"€ 36,923","€ 1,920,000","€ 1,955,977",M,30,Croatia,Fiorentina,Serie A,2019-2020
9,Kevin-Prince Boateng,"€ 32,115","€ 1,670,000","€ 1,701,292",F,32,Ghana,Fiorentina,Serie A,2019-2020
10,Erick Pulgar,"€ 32,115","€ 1,670,000","€ 1,701,292",M,25,Chile,Fiorentina,Serie A,2019-2020
11,Nikola Milenkovic,"€ 28,462","€ 1,480,000","€ 1,507,732",D,21,Serbia,Fiorentina,Serie A,2019-2020
12,Valentin Eysseric,"€ 28,462","€ 1,480,000","€ 1,507,732",F,27,France,Fiorentina,Serie A,2019-2020
13,Pol Lirola,"€ 28,462","€ 1,480,000","€ 1,507,732",D,22,Spain,Fiorentina,Serie A,2019-2020
14,Bartlomiej Dragowski,"€ 26,731","€ 1,390,000","€ 1,416,046",K,22,Poland,Fiorentina,Serie A,2019-2020
15,Cyril Théréau,"€ 26,731","€ 1,390,000","€ 1,416,046",F,36,France,Fiorentina,Serie A,2019-2020
16,Sebastián Cristóforo,"€ 25,000","€ 1,300,000","€ 1,324,359",M,26,Uruguay,Fiorentina,Serie A,2019-2020
17,Alfred Duncan,"€ 25,000","€ 1,300,000","€ 1,324,359",M,26,Ghana,Fiorentina,Serie A,2019-2020
18,Rachid Ghezzal,"€ 24,615","€ 1,280,000","€ 1,303,984",F,27,Algeria,Fiorentina,Serie A,2019-2020
19,Pedro,"€ 19,808","€ 1,030,000","€ 1,049,300",F,22,Brazil,Fiorentina,Serie A,2019-2020
20,Maximiliano Olivera,"€ 17,885","€ 930,000","€ 947,426",D,27,Uruguay,Fiorentina,Serie A,2019-2020
21,Federico Ceccherini,"€ 17,885","€ 930,000","€ 947,426",D,27,Italy,Fiorentina,Serie A,2019-2020
22,Bryan Dabo,"€ 17,885","€ 930,000","€ 947,426",M,27,Burkina Faso,Fiorentina,Serie A,2019-2020
23,Jacob Rasmussen,"€ 17,885","€ 930,000","€ 947,426",D,22,Denmark,Fiorentina,Serie A,2019-2020
24,Christian Kouamé,"€ 15,962","€ 830,000","€ 845,552",F,22,Cote d'Ivoire,Fiorentina,Serie A,2019-2020
25,Szymon Zurkowski,"€ 12,308","€ 640,000","€ 651,992",M,21,Poland,Fiorentina,Serie A,2019-2020
26,Aleksa Terzic,"€ 10,769","€ 560,000","€ 570,493",D,20,Serbia,Fiorentina,Serie A,2019-2020
27,Lorenzo Venuti,"€ 10,769","€ 560,000","€ 570,493",D,24,Italy,Fiorentina,Serie A,2019-2020
28,Pietro Terracciano,"€ 10,769","€ 560,000","€ 570,493",K,29,Italy,Fiorentina,Serie A,2019-2020
29,Igor,"€ 9,808","€ 510,000","€ 519,556",D,21,Brazil,Fiorentina,Serie A,2019-2020
30,Kevin Agudelo,"€ 8,846","€ 460,000","€ 468,619",M,21,Colombia,Fiorentina,Serie A,2019-2020
31,Gaetano Castrovilli,"€ 7,115","€ 370,000","€ 376,933",M,22,Italy,Fiorentina,Serie A,2019-2020
32,Luca Ranieri,"€ 5,385","€ 280,000","€ 285,247",D,20,Italy,Fiorentina,Serie A,2019-2020
33,Riccardo Sottil,"€ 5,385","€ 280,000","€ 285,247",F,20,Italy,Fiorentina,Serie A,2019-2020
34,Dusan Vlahovic,"€ 5,000","€ 260,000","€ 264,872",F,19,Serbia,Fiorentina,Serie A,2019-2020
35,Andrés Schetino,"€ 3,654","€ 190,000","€ 193,560",M,25,Uruguay,Fiorentina,Serie A,2019-2020
36,Tòfol Montiel,"€ 1,731","€ 90,000","€ 91,686",F,19,Spain,Fiorentina,Serie A,2019-2020
37,Federico Brancolini,€ 385,"€ 20,000","€ 20,375",K,18,Italy,Fiorentina,Serie A,2019-2020
