,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Mattia Perin,"€ 81,923","€ 4,260,000","€ 4,339,823",K,27,Italy,Genoa,Serie A,2019-2020
2,Mattia Destro,"€ 71,154","€ 3,700,000","€ 3,769,330",F,28,Italy,Genoa,Serie A,2019-2020
3,Iago Falque,"€ 60,577","€ 3,150,000","€ 3,209,024",F,30,Spain,Genoa,Serie A,2019-2020
4,Cristián Zapata,"€ 42,692","€ 2,220,000","€ 2,261,598",D,32,Colombia,Genoa,Serie A,2019-2020
5,Andrea Pinamonti,"€ 42,692","€ 2,220,000","€ 2,261,598",F,20,Italy,Genoa,Serie A,2019-2020
6,Domenico Criscito,"€ 42,692","€ 2,220,000","€ 2,261,598",D,32,Italy,Genoa,Serie A,2019-2020
7,Antonio Sanabria,"€ 39,231","€ 2,040,000","€ 2,078,225",F,23,Paraguay,Genoa,Serie A,2019-2020
8,Lasse Schöne,"€ 36,923","€ 1,920,000","€ 1,955,977",M,33,Denmark,Genoa,Serie A,2019-2020
9,Cristian Romero,"€ 32,115","€ 1,670,000","€ 1,701,292",D,21,Argentina,Genoa,Serie A,2019-2020
10,Sandro,"€ 32,115","€ 1,670,000","€ 1,701,292",M,30,Brazil,Genoa,Serie A,2019-2020
11,Stefano Sturaro,"€ 29,615","€ 1,540,000","€ 1,568,856",M,26,Italy,Genoa,Serie A,2019-2020
12,Ionut Radu,"€ 28,462","€ 1,480,000","€ 1,507,732",K,22,Romania,Genoa,Serie A,2019-2020
13,Adama Soumaoro,"€ 27,692","€ 1,440,000","€ 1,466,982",D,27,France,Genoa,Serie A,2019-2020
14,Federico Marchetti,"€ 25,000","€ 1,300,000","€ 1,324,359",K,36,Italy,Genoa,Serie A,2019-2020
15,Lukas Lerager,"€ 25,000","€ 1,300,000","€ 1,324,359",M,26,Denmark,Genoa,Serie A,2019-2020
16,Andrea Favilli,"€ 25,000","€ 1,300,000","€ 1,324,359",F,22,Italy,Genoa,Serie A,2019-2020
17,Riccardo Saponara,"€ 22,115","€ 1,150,000","€ 1,171,549",F,27,Italy,Genoa,Serie A,2019-2020
18,Ivan Radovanovic,"€ 21,346","€ 1,110,000","€ 1,130,799",M,31,Serbia,Genoa,Serie A,2019-2020
19,Antonio Barreca,"€ 20,962","€ 1,090,000","€ 1,110,424",D,24,Italy,Genoa,Serie A,2019-2020
20,Sinan Gümüs,"€ 19,808","€ 1,030,000","€ 1,049,300",F,25,Germany,Genoa,Serie A,2019-2020
21,Andrea Masiello,"€ 17,885","€ 930,000","€ 947,426",D,33,Italy,Genoa,Serie A,2019-2020
22,Edoardo Goldaniga,"€ 17,885","€ 930,000","€ 947,426",D,25,Italy,Genoa,Serie A,2019-2020
23,Valon Behrami,"€ 16,923","€ 880,000","€ 896,489",M,34,Switzerland,Genoa,Serie A,2019-2020
24,Christian Kouamé,"€ 15,962","€ 830,000","€ 845,552",F,21,Cote d'Ivoire,Genoa,Serie A,2019-2020
25,Davide Biraschi,"€ 15,962","€ 830,000","€ 845,552",D,25,Italy,Genoa,Serie A,2019-2020
26,Goran Pandev,"€ 12,500","€ 650,000","€ 662,180",F,36,North Macedonia,Genoa,Serie A,2019-2020
27,Peter Ankersen,"€ 12,308","€ 640,000","€ 651,992",D,28,Denmark,Genoa,Serie A,2019-2020
28,Paolo Ghiglione,"€ 10,769","€ 560,000","€ 570,493",D,22,Italy,Genoa,Serie A,2019-2020
29,Marko Pajac,"€ 10,769","€ 560,000","€ 570,493",D,26,Croatia,Genoa,Serie A,2019-2020
30,Francesco Cassata,"€ 10,769","€ 560,000","€ 570,493",M,22,Italy,Genoa,Serie A,2019-2020
31,Jawad El Yamiq,"€ 10,769","€ 560,000","€ 570,493",D,27,Morocco,Genoa,Serie A,2019-2020
32,Sebastian Eriksson,"€ 9,038","€ 470,000","€ 478,807",M,31,Sweden,Genoa,Serie A,2019-2020
33,Kevin Agudelo,"€ 8,846","€ 460,000","€ 468,619",M,20,Colombia,Genoa,Serie A,2019-2020
34,Jandrei,"€ 8,654","€ 450,000","€ 458,432",K,26,Brazil,Genoa,Serie A,2019-2020
35,Rok Vodisek,"€ 7,115","€ 370,000","€ 376,933",K,20,Slovenia,Genoa,Serie A,2019-2020
36,Filip Jagiello,"€ 6,154","€ 320,000","€ 325,996",M,22,Poland,Genoa,Serie A,2019-2020
