,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Khouma Babacar,"€ 35,577","€ 1,850,000","€ 1,884,665",F,26,Senegal,Lecce,Serie A,2019-2020
2,Luca Rossettini,"€ 28,462","€ 1,480,000","€ 1,507,732",D,34,Italy,Lecce,Serie A,2019-2020
3,Filippo Falco,"€ 28,462","€ 1,480,000","€ 1,507,732",F,27,Italy,Lecce,Serie A,2019-2020
4,Gianluca Lapadula,"€ 26,731","€ 1,390,000","€ 1,416,046",F,29,Italy,Lecce,Serie A,2019-2020
5,Fabio Lucioni,"€ 25,000","€ 1,300,000","€ 1,324,359",D,31,Italy,Lecce,Serie A,2019-2020
6,Gabriel,"€ 25,000","€ 1,300,000","€ 1,324,359",K,26,Brazil,Lecce,Serie A,2019-2020
7,Andrea La Mantia,"€ 25,000","€ 1,300,000","€ 1,324,359",F,28,Italy,Lecce,Serie A,2019-2020
8,Andrea Rispoli,"€ 25,000","€ 1,300,000","€ 1,324,359",D,30,Italy,Lecce,Serie A,2019-2020
9,Diego Farias,"€ 25,000","€ 1,300,000","€ 1,324,359",F,29,Brazil,Lecce,Serie A,2019-2020
10,Giannelli Imbula,"€ 24,615","€ 1,280,000","€ 1,303,984",M,26,Democratic Republic of Congo,Lecce,Serie A,2019-2020
11,Romario Benzar,"€ 24,615","€ 1,280,000","€ 1,303,984",D,27,Romania,Lecce,Serie A,2019-2020
12,Riccardo Saponara,"€ 22,115","€ 1,150,000","€ 1,171,549",F,28,Italy,Lecce,Serie A,2019-2020
13,Cristian Dell'Orco,"€ 21,346","€ 1,110,000","€ 1,130,799",D,25,Italy,Lecce,Serie A,2019-2020
14,Panagiotis Tachtsidis,"€ 19,808","€ 1,030,000","€ 1,049,300",M,28,Greece,Lecce,Serie A,2019-2020
15,Yevhen Shakhov,"€ 19,808","€ 1,030,000","€ 1,049,300",M,28,Ukraine,Lecce,Serie A,2019-2020
16,Mauro Vigorito,"€ 17,885","€ 930,000","€ 947,426",K,29,Italy,Lecce,Serie A,2019-2020
17,Marco Mancosu,"€ 17,885","€ 930,000","€ 947,426",F,31,Italy,Lecce,Serie A,2019-2020
18,Biagio Meccariello,"€ 17,885","€ 930,000","€ 947,426",D,28,Italy,Lecce,Serie A,2019-2020
19,Andrea Tabanelli,"€ 17,885","€ 930,000","€ 947,426",M,29,Italy,Lecce,Serie A,2019-2020
20,Jacopo Petriccione,"€ 17,885","€ 930,000","€ 947,426",M,24,Italy,Lecce,Serie A,2019-2020
21,Brayan Vera,"€ 17,308","€ 900,000","€ 916,864",D,20,Colombia,Lecce,Serie A,2019-2020
22,Zan Majer,"€ 17,308","€ 900,000","€ 916,864",M,27,Slovenia,Lecce,Serie A,2019-2020
23,Nehuén Paz,"€ 15,962","€ 830,000","€ 845,552",D,26,Argentina,Lecce,Serie A,2019-2020
24,Riccardo Fiamozzi,"€ 14,231","€ 740,000","€ 753,866",D,26,Italy,Lecce,Serie A,2019-2020
25,Alessandro Deiola,"€ 10,769","€ 560,000","€ 570,493",M,24,Italy,Lecce,Serie A,2019-2020
26,Antonin Barak,"€ 10,769","€ 560,000","€ 570,493",M,25,Czech Republic,Lecce,Serie A,2019-2020
27,Davide Riccardi,"€ 10,769","€ 560,000","€ 570,493",D,23,Italy,Lecce,Serie A,2019-2020
28,Radoslav Tsonev,"€ 10,769","€ 560,000","€ 570,493",M,24,Bulgaria,Lecce,Serie A,2019-2020
29,Giulio Donati,"€ 10,577","€ 550,000","€ 560,306",D,29,Italy,Lecce,Serie A,2019-2020
30,Simone Lo Faso,"€ 7,115","€ 370,000","€ 376,933",F,21,Italy,Lecce,Serie A,2019-2020
31,Antonino Gallo,"€ 7,115","€ 370,000","€ 376,933",D,19,Italy,Lecce,Serie A,2019-2020
32,Marco Bleve,"€ 7,115","€ 370,000","€ 376,933",K,23,Italy,Lecce,Serie A,2019-2020
33,Edgaras Dubickas,"€ 7,115","€ 370,000","€ 376,933",F,21,Lithuania,Lecce,Serie A,2019-2020
34,Marco Calderoni,"€ 6,346","€ 330,000","€ 336,183",D,30,Italy,Lecce,Serie A,2019-2020
35,Luka Dumancic,"€ 1,154","€ 60,000","€ 61,124",D,20,Croatia,Lecce,Serie A,2019-2020
36,Gianmarco Chironi,€ 769,"€ 40,000","€ 40,750",K,22,Italy,Lecce,Serie A,2019-2020
37,Roberto Pierno,€ 385,"€ 20,000","€ 20,375",D,18,Italy,Lecce,Serie A,2019-2020
