,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Edin Dzeko,"€ 178,077","€ 9,260,000","€ 9,433,512",F,33,Bosnia-Herzegovina,Roma,Serie A,2019-2020
2,Javier Pastore,"€ 160,192","€ 8,330,000","€ 8,486,086",F,30,Argentina,Roma,Serie A,2019-2020
3,Aleksandar Kolarov,"€ 106,923","€ 5,560,000","€ 5,664,182",D,33,Serbia,Roma,Serie A,2019-2020
4,Jordan Veretout,"€ 106,923","€ 5,560,000","€ 5,664,182",M,26,France,Roma,Serie A,2019-2020
5,Diego Perotti,"€ 106,923","€ 5,560,000","€ 5,664,182",F,31,Argentina,Roma,Serie A,2019-2020
6,Leonardo Spinazzola,"€ 106,923","€ 5,560,000","€ 5,664,182",D,26,Italy,Roma,Serie A,2019-2020
7,Nikola Kalinić,"€ 106,923","€ 5,560,000","€ 5,664,182",F,31,Croatia,Roma,Serie A,2019-2020
8,Alessandro Florenzi,"€ 106,923","€ 5,560,000","€ 5,664,182",D,28,Italy,Roma,Serie A,2019-2020
9,Chris Smalling,"€ 93,654","€ 4,870,000","€ 4,961,253",D,29,England,Roma,Serie A,2019-2020
10,Nicolò Zaniolo,"€ 89,038","€ 4,630,000","€ 4,716,756",F,20,Italy,Roma,Serie A,2019-2020
11,Cengiz Ünder,"€ 89,038","€ 4,630,000","€ 4,716,756",F,22,Turkey,Roma,Serie A,2019-2020
12,Federico Fazio,"€ 89,038","€ 4,630,000","€ 4,716,756",D,32,Argentina,Roma,Serie A,2019-2020
13,Amadou Diawara,"€ 89,038","€ 4,630,000","€ 4,716,756",M,22,Guinea,Roma,Serie A,2019-2020
14,Juan Jesus,"€ 78,269","€ 4,070,000","€ 4,146,263",D,28,Brazil,Roma,Serie A,2019-2020
15,Henrikh Mkhitaryan,"€ 74,038","€ 3,850,000","€ 3,922,141",F,30,Armenia,Roma,Serie A,2019-2020
16,Pau López,"€ 74,038","€ 3,850,000","€ 3,922,141",K,24,Spain,Roma,Serie A,2019-2020
17,Gianluca Mancini,"€ 71,154","€ 3,700,000","€ 3,769,330",D,23,Italy,Roma,Serie A,2019-2020
18,Lorenzo Pellegrini,"€ 71,154","€ 3,700,000","€ 3,769,330",M,23,Italy,Roma,Serie A,2019-2020
19,Justin Kluivert,"€ 64,038","€ 3,330,000","€ 3,392,397",F,20,Netherlands,Roma,Serie A,2019-2020
20,Davide Zappacosta,"€ 61,731","€ 3,210,000","€ 3,270,148",D,27,Italy,Roma,Serie A,2019-2020
21,Bruno Peres,"€ 60,577","€ 3,150,000","€ 3,209,024",D,29,Brazil,Roma,Serie A,2019-2020
22,Davide Santon,"€ 53,462","€ 2,780,000","€ 2,832,091",D,28,Italy,Roma,Serie A,2019-2020
23,Bryan Cristante,"€ 53,462","€ 2,780,000","€ 2,832,091",M,24,Italy,Roma,Serie A,2019-2020
24,Carles Pérez,"€ 49,231","€ 2,560,000","€ 2,607,969",F,21,Spain,Roma,Serie A,2019-2020
25,Antonio Mirante,"€ 35,577","€ 1,850,000","€ 1,884,665",K,36,Italy,Roma,Serie A,2019-2020
26,Mert Cetin,"€ 24,615","€ 1,280,000","€ 1,303,984",D,22,Turkey,Roma,Serie A,2019-2020
27,Daniel Fuzato,"€ 17,885","€ 930,000","€ 947,426",K,22,Brazil,Roma,Serie A,2019-2020
28,Gonzalo Villar,"€ 12,308","€ 640,000","€ 651,992",M,21,Spain,Roma,Serie A,2019-2020
29,Mirko Antonucci,"€ 10,769","€ 560,000","€ 570,493",F,20,Italy,Roma,Serie A,2019-2020
30,Roger Ibañez,"€ 6,154","€ 320,000","€ 325,996",D,21,Brazil,Roma,Serie A,2019-2020
