,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Domenico Berardi,"€ 64,038","€ 3,330,000","€ 3,392,397",F,25,Italy,Sassuolo,Serie A,2019-2020
2,Alessandro Matri,"€ 35,577","€ 1,850,000","€ 1,884,665",F,35,Italy,Sassuolo,Serie A,2019-2020
3,Andrea Consigli,"€ 35,577","€ 1,850,000","€ 1,884,665",K,32,Italy,Sassuolo,Serie A,2019-2020
4,Vlad Chiriches,"€ 35,577","€ 1,850,000","€ 1,884,665",D,29,Romania,Sassuolo,Serie A,2019-2020
5,Grégoire Defrel,"€ 32,115","€ 1,670,000","€ 1,701,292",F,28,Martinique,Sassuolo,Serie A,2019-2020
6,Francesco Caputo,"€ 28,462","€ 1,480,000","€ 1,507,732",F,32,Italy,Sassuolo,Serie A,2019-2020
7,Rogério,"€ 25,000","€ 1,300,000","€ 1,324,359",D,21,Brazil,Sassuolo,Serie A,2019-2020
8,Filip Djuricic,"€ 25,000","€ 1,300,000","€ 1,324,359",F,27,Serbia,Sassuolo,Serie A,2019-2020
9,Francesco Magnanelli,"€ 25,000","€ 1,300,000","€ 1,324,359",M,34,Italy,Sassuolo,Serie A,2019-2020
10,Manuel Locatelli,"€ 25,000","€ 1,300,000","€ 1,324,359",M,21,Italy,Sassuolo,Serie A,2019-2020
11,Alfred Duncan,"€ 25,000","€ 1,300,000","€ 1,324,359",M,26,Ghana,Sassuolo,Serie A,2019-2020
12,Mehdi Bourabia,"€ 21,346","€ 1,110,000","€ 1,130,799",M,28,Morocco,Sassuolo,Serie A,2019-2020
13,Giangiacomo Magnani,"€ 21,346","€ 1,110,000","€ 1,130,799",D,24,Italy,Sassuolo,Serie A,2019-2020
14,Gian Marco Ferrari,"€ 21,346","€ 1,110,000","€ 1,130,799",D,27,Italy,Sassuolo,Serie A,2019-2020
15,Federico Peluso,"€ 21,346","€ 1,110,000","€ 1,130,799",D,35,Italy,Sassuolo,Serie A,2019-2020
16,Marlon,"€ 21,346","€ 1,110,000","€ 1,130,799",D,24,Brazil,Sassuolo,Serie A,2019-2020
17,Pedro Obiang,"€ 20,962","€ 1,090,000","€ 1,110,424",M,27,Equatorial Guinea,Sassuolo,Serie A,2019-2020
18,Hamed Junior Traorè,"€ 17,885","€ 930,000","€ 947,426",F,19,Cote d'Ivoire,Sassuolo,Serie A,2019-2020
19,Luca Mazzitelli,"€ 17,885","€ 930,000","€ 947,426",M,23,Italy,Sassuolo,Serie A,2019-2020
20,Gianluca Pegolo,"€ 17,885","€ 930,000","€ 947,426",K,38,Italy,Sassuolo,Serie A,2019-2020
21,Jeremy Toljan,"€ 17,308","€ 900,000","€ 916,864",D,25,Germany,Sassuolo,Serie A,2019-2020
22,Filippo Romagna,"€ 14,231","€ 740,000","€ 753,866",D,22,Italy,Sassuolo,Serie A,2019-2020
23,Jeremie Boga,"€ 14,231","€ 740,000","€ 753,866",F,22,Cote d'Ivoire,Sassuolo,Serie A,2019-2020
24,Mert Müldür,"€ 9,808","€ 510,000","€ 519,556",D,20,Turkey,Sassuolo,Serie A,2019-2020
25,Alessandro Tripaldelli,"€ 8,846","€ 460,000","€ 468,619",D,20,Italy,Sassuolo,Serie A,2019-2020
26,Georgios Kyriakopoulos,"€ 6,154","€ 320,000","€ 325,996",D,23,Greece,Sassuolo,Serie A,2019-2020
27,Alessandro Russo,"€ 5,385","€ 280,000","€ 285,247",K,18,Italy,Sassuolo,Serie A,2019-2020
28,Giacomo Raspadori,"€ 3,654","€ 190,000","€ 193,560",F,19,Italy,Sassuolo,Serie A,2019-2020
29,Lukas Haraslin,"€ 3,269","€ 170,000","€ 173,185",F,23,Slovakia,Sassuolo,Serie A,2019-2020
30,Leonardo Fontanesi,€ 962,"€ 50,000","€ 50,937",D,23,Italy,Sassuolo,Serie A,2019-2020
