,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Alessio Romagnoli,"€ 178,077","€ 9,260,000","€ 9,260,000",D,27,Italy,AC Milan,Serie A,2021-2022
2,Zlatan Ibrahimovic,"€ 172,500","€ 8,970,000","€ 8,970,000",F,40,Sweden,AC Milan,Serie A,2021-2022
3,Alessandro Florenzi,"€ 106,923","€ 5,560,000","€ 5,560,000",D,30,Italy,AC Milan,Serie A,2021-2022
4,Theo Hernández,"€ 98,654","€ 5,130,000","€ 5,130,000",D,24,France,AC Milan,Serie A,2021-2022
5,Tiemoué Bakayoko,"€ 89,038","€ 4,630,000","€ 4,630,000",M,27,France,AC Milan,Serie A,2021-2022
6,Olivier Giroud,"€ 86,346","€ 4,490,000","€ 4,490,000",F,35,France,AC Milan,Serie A,2021-2022
7,Ante Rebic,"€ 86,346","€ 4,490,000","€ 4,490,000",F,28,Croatia,AC Milan,Serie A,2021-2022
8,Franck Kessié,"€ 78,269","€ 4,070,000","€ 4,070,000",M,25,Cote d'Ivoire,AC Milan,Serie A,2021-2022
9,Davide Calabria,"€ 71,154","€ 3,700,000","€ 3,700,000",D,25,Italy,AC Milan,Serie A,2021-2022
10,Andrea Conti,"€ 71,154","€ 3,700,000","€ 3,700,000",D,27,Italy,AC Milan,Serie A,2021-2022
11,Mike Maignan,"€ 69,038","€ 3,590,000","€ 3,590,000",K,26,France,AC Milan,Serie A,2021-2022
12,Samu Castillejo,"€ 53,462","€ 2,780,000","€ 2,780,000",F,27,Spain,AC Milan,Serie A,2021-2022
13,Ismaël Bennacer,"€ 53,462","€ 2,780,000","€ 2,780,000",M,24,Algeria,AC Milan,Serie A,2021-2022
14,Fikayo Tomori,"€ 49,231","€ 2,560,000","€ 2,560,000",D,24,England,AC Milan,Serie A,2021-2022
15,Sandro Tonali,"€ 46,346","€ 2,410,000","€ 2,410,000",M,21,Italy,AC Milan,Serie A,2021-2022
16,Rade Krunic,"€ 39,231","€ 2,040,000","€ 2,040,000",M,28,Bosnia-Herzegovina,AC Milan,Serie A,2021-2022
17,Simon Kjaer,"€ 36,923","€ 1,920,000","€ 1,920,000",D,32,Denmark,AC Milan,Serie A,2021-2022
18,Brahim Díaz,"€ 36,923","€ 1,920,000","€ 1,920,000",F,22,Spain,AC Milan,Serie A,2021-2022
19,Junior Messias,"€ 35,577","€ 1,850,000","€ 1,850,000",F,30,Brazil,AC Milan,Serie A,2021-2022
20,Rafael Leão,"€ 34,423","€ 1,790,000","€ 1,790,000",F,22,Portugal,AC Milan,Serie A,2021-2022
21,Ciprian Tatarusanu,"€ 29,615","€ 1,540,000","€ 1,540,000",K,35,Romania,AC Milan,Serie A,2021-2022
22,Matteo Gabbia,"€ 28,462","€ 1,480,000","€ 1,480,000",D,22,Italy,AC Milan,Serie A,2021-2022
23,Antonio Mirante,"€ 25,000","€ 1,300,000","€ 1,300,000",K,38,Italy,AC Milan,Serie A,2021-2022
24,Fodé Ballo-Touré,"€ 24,615","€ 1,280,000","€ 1,280,000",D,25,Senegal,AC Milan,Serie A,2021-2022
25,Alexis Saelemaekers,"€ 24,615","€ 1,280,000","€ 1,280,000",F,22,Belgium,AC Milan,Serie A,2021-2022
26,Pietro Pellegri,"€ 24,615","€ 1,280,000","€ 1,280,000",F,20,Italy,AC Milan,Serie A,2021-2022
27,Pierre Kalulu,"€ 14,808","€ 770,000","€ 770,000",D,21,France,AC Milan,Serie A,2021-2022
28,Alessandro Plizzari,"€ 12,500","€ 650,000","€ 650,000",K,21,Italy,AC Milan,Serie A,2021-2022
29,Daniel Maldini,"€ 10,769","€ 560,000","€ 560,000",F,20,Italy,AC Milan,Serie A,2021-2022
30,Marko Lazetic,€ 0,€ 0,€ 0,F,18,Serbia,AC Milan,Serie A,2021-2022
