,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Patrick Cutrone,"€ 73,462","€ 3,820,000","€ 3,820,000",F,24,Italy,Empoli,Serie A,2021-2022
2,Leonardo Mancuso,"€ 49,808","€ 2,590,000","€ 2,590,000",F,29,Italy,Empoli,Serie A,2021-2022
3,Sebastiano Luperto,"€ 46,346","€ 2,410,000","€ 2,410,000",D,25,Italy,Empoli,Serie A,2021-2022
4,Marco Benassi,"€ 39,231","€ 2,040,000","€ 2,040,000",M,27,Italy,Empoli,Serie A,2021-2022
5,Simone Romagnoli,"€ 35,577","€ 1,850,000","€ 1,850,000",D,31,Italy,Empoli,Serie A,2021-2022
6,Samuele Ricci,"€ 35,577","€ 1,850,000","€ 1,850,000",M,20,Italy,Empoli,Serie A,2021-2022
7,Andrea Pinamonti,"€ 35,577","€ 1,850,000","€ 1,850,000",F,22,Italy,Empoli,Serie A,2021-2022
8,Lorenzo Tonelli,"€ 35,577","€ 1,850,000","€ 1,850,000",D,32,Italy,Empoli,Serie A,2021-2022
9,Andrea La Mantia,"€ 32,115","€ 1,670,000","€ 1,670,000",F,30,Italy,Empoli,Serie A,2021-2022
10,Ardian Ismajli,"€ 32,115","€ 1,670,000","€ 1,670,000",D,25,Albania,Empoli,Serie A,2021-2022
11,Leo Stulac,"€ 30,962","€ 1,610,000","€ 1,610,000",M,27,Slovenia,Empoli,Serie A,2021-2022
12,Federico Di Francesco,"€ 30,000","€ 1,560,000","€ 1,560,000",F,27,Italy,Empoli,Serie A,2021-2022
13,Nedim Bajrami,"€ 29,615","€ 1,540,000","€ 1,540,000",F,22,Albania,Empoli,Serie A,2021-2022
14,Nicolas Haas,"€ 28,462","€ 1,480,000","€ 1,480,000",M,26,Switzerland,Empoli,Serie A,2021-2022
15,Liam Henderson,"€ 28,462","€ 1,480,000","€ 1,480,000",M,25,Scotland,Empoli,Serie A,2021-2022
16,Valerio Verre,"€ 25,000","€ 1,300,000","€ 1,300,000",M,28,Italy,Empoli,Serie A,2021-2022
17,Guglielmo Vicario,"€ 21,346","€ 1,110,000","€ 1,110,000",K,25,Italy,Empoli,Serie A,2021-2022
18,Filippo Bandinelli,"€ 21,346","€ 1,110,000","€ 1,110,000",M,26,Italy,Empoli,Serie A,2021-2022
19,Szymon Zurkowski,"€ 17,885","€ 930,000","€ 930,000",M,24,Poland,Empoli,Serie A,2021-2022
20,Riccardo Marchizza,"€ 17,885","€ 930,000","€ 930,000",D,23,Italy,Empoli,Serie A,2021-2022
21,Petar Stojanovic,"€ 12,308","€ 640,000","€ 640,000",D,26,Slovenia,Empoli,Serie A,2021-2022
22,Riccardo Fiamozzi,"€ 7,115","€ 370,000","€ 370,000",D,28,Italy,Empoli,Serie A,2021-2022
23,Liberato Cacace,"€ 5,577","€ 290,000","€ 290,000",D,21,New Zealand,Empoli,Serie A,2021-2022
24,Jacopo Furlan,"€ 4,231","€ 220,000","€ 220,000",K,28,Italy,Empoli,Serie A,2021-2022
25,Emmanuel Ekong,"€ 3,654","€ 190,000","€ 190,000",F,19,Sweden,Empoli,Serie A,2021-2022
26,Samuele Damiani,"€ 3,654","€ 190,000","€ 190,000",M,23,Italy,Empoli,Serie A,2021-2022
27,Mattia Viti,"€ 3,654","€ 190,000","€ 190,000",D,20,Italy,Empoli,Serie A,2021-2022
28,Fabiano Parisi,"€ 3,654","€ 190,000","€ 190,000",D,21,Italy,Empoli,Serie A,2021-2022
29,Iwo Kaczmarski,€ 0,€ 0,€ 0,M,17,Poland,Empoli,Serie A,2021-2022
30,Samir Ujkani,€ 0,€ 0,€ 0,K,33,Kosovo,Empoli,Serie A,2021-2022
31,Kristjan Asllani,€ 0,€ 0,€ 0,M,19,Albania,Empoli,Serie A,2021-2022
32,Tommaso Baldanzi,€ 0,€ 0,€ 0,F,18,Italy,Empoli,Serie A,2021-2022
