,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Nikola Kalinic,"€ 53,462","€ 2,780,000","€ 2,780,000",F,34,Croatia,Hellas Verona,Serie A,2021-2022
2,Giovanni Simeone,"€ 53,462","€ 2,780,000","€ 2,780,000",F,26,Argentina,Hellas Verona,Serie A,2021-2022
3,Matteo Cancellieri,"€ 35,577","€ 1,850,000","€ 1,850,000",F,19,Italy,Hellas Verona,Serie A,2021-2022
4,Gianluca Caprari,"€ 32,115","€ 1,670,000","€ 1,670,000",F,28,Italy,Hellas Verona,Serie A,2021-2022
5,Kevin Lasagna,"€ 25,000","€ 1,300,000","€ 1,300,000",F,29,Italy,Hellas Verona,Serie A,2021-2022
6,Koray Günter,"€ 21,346","€ 1,110,000","€ 1,110,000",D,27,Germany,Hellas Verona,Serie A,2021-2022
7,Giangiacomo Magnani,"€ 21,346","€ 1,110,000","€ 1,110,000",D,25,Italy,Hellas Verona,Serie A,2021-2022
8,Darko Lazovic,"€ 21,346","€ 1,110,000","€ 1,110,000",M,31,Serbia,Hellas Verona,Serie A,2021-2022
9,Davide Faraoni,"€ 17,885","€ 930,000","€ 930,000",D,30,Italy,Hellas Verona,Serie A,2021-2022
10,Miguel Veloso,"€ 17,885","€ 930,000","€ 930,000",M,35,Portugal,Hellas Verona,Serie A,2021-2022
11,Antonin Barak,"€ 17,885","€ 930,000","€ 930,000",F,27,Czech Republic,Hellas Verona,Serie A,2021-2022
12,Federico Ceccherini,"€ 17,885","€ 930,000","€ 930,000",D,29,Italy,Hellas Verona,Serie A,2021-2022
13,Martin Hongla,"€ 15,962","€ 830,000","€ 830,000",M,23,Cameroon,Hellas Verona,Serie A,2021-2022
14,Daniel Bessa,"€ 15,962","€ 830,000","€ 830,000",M,29,Italy,Hellas Verona,Serie A,2021-2022
15,Fabio Depaoli,"€ 12,500","€ 650,000","€ 650,000",D,24,Italy,Hellas Verona,Serie A,2021-2022
16,Adrien Tamèze,"€ 12,308","€ 640,000","€ 640,000",M,27,Cameroon,Hellas Verona,Serie A,2021-2022
17,Lorenzo Montipò,"€ 9,615","€ 500,000","€ 500,000",K,25,Italy,Hellas Verona,Serie A,2021-2022
18,Bosko Sutalo,"€ 8,846","€ 460,000","€ 460,000",D,22,Croatia,Hellas Verona,Serie A,2021-2022
19,Pawel Dawidowicz,"€ 7,308","€ 380,000","€ 380,000",D,26,Poland,Hellas Verona,Serie A,2021-2022
20,Kevin Rüegg,"€ 7,308","€ 380,000","€ 380,000",M,23,Switzerland,Hellas Verona,Serie A,2021-2022
21,Mert Cetin,"€ 6,154","€ 320,000","€ 320,000",D,24,Turkey,Hellas Verona,Serie A,2021-2022
22,Ivan Ilic,"€ 6,154","€ 320,000","€ 320,000",M,20,Serbia,Hellas Verona,Serie A,2021-2022
23,Mateusz Praszelik,"€ 6,154","€ 320,000","€ 320,000",F,21,Poland,Hellas Verona,Serie A,2021-2022
24,Alessandro Berardi,"€ 5,385","€ 280,000","€ 280,000",K,31,Italy,Hellas Verona,Serie A,2021-2022
25,Gianluca Frabotta,"€ 3,654","€ 190,000","€ 190,000",D,22,Italy,Hellas Verona,Serie A,2021-2022
26,Ivor Pandur,"€ 3,654","€ 190,000","€ 190,000",K,21,Croatia,Hellas Verona,Serie A,2021-2022
27,Mattia Chiesa,€ 0,€ 0,€ 0,K,21,Italy,Hellas Verona,Serie A,2021-2022
28,Antonino Ragusa,€ 0,€ 0,€ 0,F,31,Italy,Hellas Verona,Serie A,2021-2022
29,Panagiotis Retsos,€ 0,€ 0,€ 0,D,23,Greece,Hellas Verona,Serie A,2021-2022
30,Nicolò Casale,€ 0,€ 0,€ 0,D,23,Italy,Hellas Verona,Serie A,2021-2022
31,Bogdan Jocic,€ 0,€ 0,€ 0,F,20,Serbia,Hellas Verona,Serie A,2021-2022
