,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Marcelo Brozovic,"€ 213,654","€ 11,110,000","€ 11,110,000",M,29,Croatia,Inter Milan,Serie A,2021-2022
2,Lautaro Martínez,"€ 213,654","€ 11,110,000","€ 11,110,000",F,24,Argentina,Inter Milan,Serie A,2021-2022
3,Christian Eriksen,"€ 185,000","€ 9,620,000","€ 9,620,000",F,29,Denmark,Inter Milan,Serie A,2021-2022
4,Hakan Calhanoglu,"€ 178,077","€ 9,260,000","€ 9,260,000",M,27,Turkey,Inter Milan,Serie A,2021-2022
5,Ivan Perisic,"€ 178,077","€ 9,260,000","€ 9,260,000",M,33,Croatia,Inter Milan,Serie A,2021-2022
6,Nicolò Barella,"€ 178,077","€ 9,260,000","€ 9,260,000",M,24,Italy,Inter Milan,Serie A,2021-2022
7,Edin Dzeko,"€ 178,077","€ 9,260,000","€ 9,260,000",F,35,Bosnia-Herzegovina,Inter Milan,Serie A,2021-2022
8,Alexis Sánchez,"€ 172,500","€ 8,970,000","€ 8,970,000",F,33,Chile,Inter Milan,Serie A,2021-2022
9,Arturo Vidal,"€ 160,192","€ 8,330,000","€ 8,330,000",M,34,Chile,Inter Milan,Serie A,2021-2022
10,Stefan de Vrij,"€ 135,385","€ 7,040,000","€ 7,040,000",D,29,Netherlands,Inter Milan,Serie A,2021-2022
11,Joaquín Correa,"€ 124,615","€ 6,480,000","€ 6,480,000",F,27,Argentina,Inter Milan,Serie A,2021-2022
12,Samir Handanovic,"€ 114,038","€ 5,930,000","€ 5,930,000",K,37,Slovenia,Inter Milan,Serie A,2021-2022
13,Milan Skriniar,"€ 106,923","€ 5,560,000","€ 5,560,000",D,26,Slovakia,Inter Milan,Serie A,2021-2022
14,Alessandro Bastoni,"€ 99,808","€ 5,190,000","€ 5,190,000",D,22,Italy,Inter Milan,Serie A,2021-2022
15,Robin Gosens,"€ 89,038","€ 4,630,000","€ 4,630,000",M,27,Germany,Inter Milan,Serie A,2021-2022
16,Matías Vecino,"€ 89,038","€ 4,630,000","€ 4,630,000",M,30,Uruguay,Inter Milan,Serie A,2021-2022
17,Danilo D'Ambrosio,"€ 71,154","€ 3,700,000","€ 3,700,000",D,33,Italy,Inter Milan,Serie A,2021-2022
18,Stefano Sensi,"€ 71,154","€ 3,700,000","€ 3,700,000",M,26,Italy,Inter Milan,Serie A,2021-2022
19,Andrea Ranocchia,"€ 64,038","€ 3,330,000","€ 3,330,000",D,33,Italy,Inter Milan,Serie A,2021-2022
20,Denzel Dumfries,"€ 61,731","€ 3,210,000","€ 3,210,000",M,25,Netherlands,Inter Milan,Serie A,2021-2022
21,Federico Dimarco,"€ 56,923","€ 2,960,000","€ 2,960,000",D,24,Italy,Inter Milan,Serie A,2021-2022
22,Aleksandar Kolarov,"€ 53,462","€ 2,780,000","€ 2,780,000",D,36,Serbia,Inter Milan,Serie A,2021-2022
23,Roberto Gagliardini,"€ 53,462","€ 2,780,000","€ 2,780,000",M,27,Italy,Inter Milan,Serie A,2021-2022
24,Matteo Darmian,"€ 49,231","€ 2,560,000","€ 2,560,000",D,32,Italy,Inter Milan,Serie A,2021-2022
25,Ionut Radu,"€ 35,577","€ 1,850,000","€ 1,850,000",K,24,Romania,Inter Milan,Serie A,2021-2022
26,Felipe Caicedo,"€ 28,462","€ 1,480,000","€ 1,480,000",F,33,Ecuador,Inter Milan,Serie A,2021-2022
27,Alex Cordaz,"€ 5,385","€ 280,000","€ 280,000",K,39,Italy,Inter Milan,Serie A,2021-2022
28,Gabriel Brazão,€ 0,€ 0,€ 0,K,21,Brazil,Inter Milan,Serie A,2021-2022
29,Martín Satriano,€ 0,€ 0,€ 0,F,20,Uruguay,Inter Milan,Serie A,2021-2022
30,Facundo Colidio,€ 0,€ 0,€ 0,F,21,Argentina,Inter Milan,Serie A,2021-2022
