,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Federico Fazio,"€ 89,038","€ 4,630,000","€ 4,630,000",D,34,Argentina,Salernitana,Serie A,2021-2022
2,Simone Verdi,"€ 60,577","€ 3,150,000","€ 3,150,000",F,29,Italy,Salernitana,Serie A,2021-2022
3,Joel Obi,"€ 42,692","€ 2,220,000","€ 2,220,000",M,30,Nigeria,Salernitana,Serie A,2021-2022
4,Franck Ribéry,"€ 36,923","€ 1,920,000","€ 1,920,000",F,38,France,Salernitana,Serie A,2021-2022
5,Federico Bonazzoli,"€ 35,577","€ 1,850,000","€ 1,850,000",F,24,Italy,Salernitana,Serie A,2021-2022
6,Simy,"€ 35,577","€ 1,850,000","€ 1,850,000",F,29,Nigeria,Salernitana,Serie A,2021-2022
7,Luigi Sepe,"€ 32,115","€ 1,670,000","€ 1,670,000",K,30,Italy,Salernitana,Serie A,2021-2022
8,Lys Mousset,"€ 29,615","€ 1,540,000","€ 1,540,000",F,25,France,Salernitana,Serie A,2021-2022
9,Guido Guerrieri,"€ 23,462","€ 1,220,000","€ 1,220,000",K,25,Italy,Salernitana,Serie A,2021-2022
10,Luca Ranieri,"€ 21,346","€ 1,110,000","€ 1,110,000",D,22,Italy,Salernitana,Serie A,2021-2022
11,Ivan Radovanovic,"€ 21,346","€ 1,110,000","€ 1,110,000",M,33,Serbia,Salernitana,Serie A,2021-2022
12,Leonardo Capezzi,"€ 21,346","€ 1,110,000","€ 1,110,000",M,26,Italy,Salernitana,Serie A,2021-2022
13,Emil Bohinen,"€ 19,231","€ 1,000,000","€ 1,000,000",M,22,Norway,Salernitana,Serie A,2021-2022
14,Radu Dragusin,"€ 17,885","€ 930,000","€ 930,000",D,19,Romania,Salernitana,Serie A,2021-2022
15,Frédéric Veseli,"€ 17,885","€ 930,000","€ 930,000",D,29,Albania,Salernitana,Serie A,2021-2022
16,Vid Belec,"€ 15,962","€ 830,000","€ 830,000",K,31,Slovenia,Salernitana,Serie A,2021-2022
17,Mamadou Coulibaly,"€ 15,000","€ 780,000","€ 780,000",M,22,Senegal,Salernitana,Serie A,2021-2022
18,Andrea Schiavone,"€ 13,846","€ 720,000","€ 720,000",M,28,Italy,Salernitana,Serie A,2021-2022
19,Luka Bogdan,"€ 12,885","€ 670,000","€ 670,000",D,25,Croatia,Salernitana,Serie A,2021-2022
20,Francesco Di Tacchio,"€ 11,346","€ 590,000","€ 590,000",M,31,Italy,Salernitana,Serie A,2021-2022
21,Pawel Jaroszynski,"€ 10,385","€ 540,000","€ 540,000",D,27,Poland,Salernitana,Serie A,2021-2022
22,Norbert Gyomber,"€ 10,385","€ 540,000","€ 540,000",D,29,Slovakia,Salernitana,Serie A,2021-2022
23,Ramzi Aya,"€ 10,000","€ 520,000","€ 520,000",D,31,Italy,Salernitana,Serie A,2021-2022
24,Lassana Coulibaly,"€ 9,808","€ 510,000","€ 510,000",M,25,Mali,Salernitana,Serie A,2021-2022
25,Vincenzo Fiorillo,"€ 9,615","€ 500,000","€ 500,000",K,32,Italy,Salernitana,Serie A,2021-2022
26,Milan Djuric,"€ 7,308","€ 380,000","€ 380,000",F,31,Bosnia-Herzegovina,Salernitana,Serie A,2021-2022
27,Nadir Zortea,"€ 6,346","€ 330,000","€ 330,000",M,22,Italy,Salernitana,Serie A,2021-2022
28,Wajdi Kechrida,"€ 5,385","€ 280,000","€ 280,000",M,26,Tunisia,Salernitana,Serie A,2021-2022
29,Pasquale Mazzocchi,"€ 3,846","€ 200,000","€ 200,000",D,26,Italy,Salernitana,Serie A,2021-2022
30,Grigoris Kastanos,"€ 3,654","€ 190,000","€ 190,000",M,24,Cyprus,Salernitana,Serie A,2021-2022
31,Edoardo Vergani,"€ 1,731","€ 90,000","€ 90,000",F,20,Italy,Salernitana,Serie A,2021-2022
32,Jacopo De Matteis,€ 0,€ 0,€ 0,K,18,Italy,Salernitana,Serie A,2021-2022
33,Filippo Delli Carri,€ 0,€ 0,€ 0,D,22,Italy,Salernitana,Serie A,2021-2022
34,Riccardo Gagliolo,€ 0,€ 0,€ 0,D,31,Sweden,Salernitana,Serie A,2021-2022
35,Sedrick Kalombo,€ 0,€ 0,€ 0,M,26,Italy,Salernitana,Serie A,2021-2022
36,Éderson,€ 0,€ 0,€ 0,M,22,Brazil,Salernitana,Serie A,2021-2022
37,Diego Perotti,€ 0,€ 0,€ 0,F,33,Argentina,Salernitana,Serie A,2021-2022
38,Stefan Strandberg,€ 0,€ 0,€ 0,D,31,Norway,Salernitana,Serie A,2021-2022
39,Antonio Russo,€ 0,€ 0,€ 0,K,22,Italy,Salernitana,Serie A,2021-2022
40,Mikael,€ 0,€ 0,€ 0,F,22,Brazil,Salernitana,Serie A,2021-2022
41,Matteo Ruggeri,€ 0,€ 0,€ 0,D,19,Italy,Salernitana,Serie A,2021-2022
