,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Viktor Kovalenko,"€ 71,154","€ 3,700,000","€ 3,700,000",F,25,Ukraine,Spezia,Serie A,2021-2022
2,Dimitrios Nikolaou,"€ 32,115","€ 1,670,000","€ 1,670,000",D,23,Greece,Spezia,Serie A,2021-2022
3,Jeroen Zoet,"€ 24,615","€ 1,280,000","€ 1,280,000",K,31,Netherlands,Spezia,Serie A,2021-2022
4,Arkadiusz Reca,"€ 22,115","€ 1,150,000","€ 1,150,000",D,26,Poland,Spezia,Serie A,2021-2022
5,Mehdi Bourabia,"€ 21,346","€ 1,110,000","€ 1,110,000",M,30,Morocco,Spezia,Serie A,2021-2022
6,Kevin Agudelo,"€ 14,231","€ 740,000","€ 740,000",F,23,Colombia,Spezia,Serie A,2021-2022
7,Jacopo Sala,"€ 14,231","€ 740,000","€ 740,000",D,30,Italy,Spezia,Serie A,2021-2022
8,Daniele Verde,"€ 14,231","€ 740,000","€ 740,000",F,25,Italy,Spezia,Serie A,2021-2022
9,M'Bala Nzola,"€ 14,231","€ 740,000","€ 740,000",F,25,Angola,Spezia,Serie A,2021-2022
10,Janis Antiste,"€ 13,654","€ 710,000","€ 710,000",F,19,France,Spezia,Serie A,2021-2022
11,Kelvin Amian,"€ 13,654","€ 710,000","€ 710,000",D,23,France,Spezia,Serie A,2021-2022
12,Ivan Provedel,"€ 10,769","€ 560,000","€ 560,000",K,27,Italy,Spezia,Serie A,2021-2022
13,Rey Manaj,"€ 10,385","€ 540,000","€ 540,000",F,24,Albania,Spezia,Serie A,2021-2022
14,Léo Sena,"€ 8,654","€ 450,000","€ 450,000",M,26,Brazil,Spezia,Serie A,2021-2022
15,Giulio Maggiore,"€ 7,115","€ 370,000","€ 370,000",M,23,Italy,Spezia,Serie A,2021-2022
16,Ebrima Colley,"€ 7,115","€ 370,000","€ 370,000",F,22,The Gambia,Spezia,Serie A,2021-2022
17,Eddie Salcedo,"€ 6,346","€ 330,000","€ 330,000",F,20,Italy,Spezia,Serie A,2021-2022
18,Salva Ferrer,"€ 6,154","€ 320,000","€ 320,000",D,24,Spain,Spezia,Serie A,2021-2022
19,Petar Zovko,"€ 5,385","€ 280,000","€ 280,000",K,19,Bosnia-Herzegovina,Spezia,Serie A,2021-2022
20,Martin Erlic,"€ 5,385","€ 280,000","€ 280,000",D,24,Croatia,Spezia,Serie A,2021-2022
21,Aurélien Nguiamba,"€ 4,423","€ 230,000","€ 230,000",M,23,France,Spezia,Serie A,2021-2022
22,David Strelec,"€ 3,654","€ 190,000","€ 190,000",F,20,Slovakia,Spezia,Serie A,2021-2022
23,Simone Bastoni,"€ 3,654","€ 190,000","€ 190,000",D,25,Italy,Spezia,Serie A,2021-2022
24,Aimar Sher,"€ 3,654","€ 190,000","€ 190,000",M,19,Sweden,Spezia,Serie A,2021-2022
25,Emmanuel Gyasi,"€ 3,654","€ 190,000","€ 190,000",F,28,Ghana,Spezia,Serie A,2021-2022
26,Suf Podgoreanu,"€ 2,500","€ 130,000","€ 130,000",F,20,Israel,Spezia,Serie A,2021-2022
27,Jakub Kiwior,"€ 2,500","€ 130,000","€ 130,000",D,21,Poland,Spezia,Serie A,2021-2022
28,Petko Hristov,"€ 1,346","€ 70,000","€ 70,000",D,22,Bulgaria,Spezia,Serie A,2021-2022
29,Nicolò Bertola,€ 0,€ 0,€ 0,D,18,Italy,Spezia,Serie A,2021-2022
30,Niccolò Pietra,€ 0,€ 0,€ 0,M,18,Italy,Spezia,Serie A,2021-2022
31,Diego Zuppel,€ 0,€ 0,€ 0,F,19,Italy,Spezia,Serie A,2021-2022
