,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Mattia Caldara,"€ 71,154","€ 3,700,000","€ 3,700,000",D,27,Italy,Venezia,Serie A,2021-2022
2,Ridgeciano Haps,"€ 61,731","€ 3,210,000","€ 3,210,000",D,28,Suriname,Venezia,Serie A,2021-2022
3,Gianluca Busio,"€ 49,231","€ 2,560,000","€ 2,560,000",M,19,United States,Venezia,Serie A,2021-2022
4,Jacopo Dezi,"€ 30,000","€ 1,560,000","€ 1,560,000",M,29,Italy,Venezia,Serie A,2021-2022
5,Thomas Henry,"€ 19,808","€ 1,030,000","€ 1,030,000",F,27,France,Venezia,Serie A,2021-2022
6,Nani,"€ 19,808","€ 1,030,000","€ 1,030,000",F,35,Portugal,Venezia,Serie A,2021-2022
7,Sofian Kiyine,"€ 17,885","€ 930,000","€ 930,000",M,24,Morocco,Venezia,Serie A,2021-2022
8,Mattia Aramu,"€ 17,885","€ 930,000","€ 930,000",F,26,Italy,Venezia,Serie A,2021-2022
9,Tyronne Ebuehi,"€ 13,269","€ 690,000","€ 690,000",D,26,Nigeria,Venezia,Serie A,2021-2022
10,Luca Lezzerini,"€ 10,769","€ 560,000","€ 560,000",K,26,Italy,Venezia,Serie A,2021-2022
11,Francesco Forte,"€ 10,769","€ 560,000","€ 560,000",F,28,Italy,Venezia,Serie A,2021-2022
12,Marco Modolo,"€ 10,769","€ 560,000","€ 560,000",D,32,Italy,Venezia,Serie A,2021-2022
13,Pietro Ceccaroni,"€ 10,769","€ 560,000","€ 560,000",D,26,Italy,Venezia,Serie A,2021-2022
14,Riccardo Bocalon,"€ 10,000","€ 520,000","€ 520,000",F,32,Italy,Venezia,Serie A,2021-2022
15,Michaël Cuisance,"€ 9,808","€ 510,000","€ 510,000",M,22,France,Venezia,Serie A,2021-2022
16,Cristian Molinaro,"€ 9,615","€ 500,000","€ 500,000",D,38,Italy,Venezia,Serie A,2021-2022
17,David Okereke,"€ 9,038","€ 470,000","€ 470,000",F,24,Nigeria,Venezia,Serie A,2021-2022
18,David Schnegg,"€ 8,846","€ 460,000","€ 460,000",D,22,Austria,Venezia,Serie A,2021-2022
19,Ethan Ampadu,"€ 8,654","€ 450,000","€ 450,000",D,21,Wales,Venezia,Serie A,2021-2022
20,Pasquale Mazzocchi,"€ 8,462","€ 440,000","€ 440,000",D,26,Italy,Venezia,Serie A,2021-2022
21,Dennis Johnsen,"€ 8,077","€ 420,000","€ 420,000",F,23,Norway,Venezia,Serie A,2021-2022
22,Niki Mäenpää,"€ 5,962","€ 310,000","€ 310,000",K,37,Finland,Venezia,Serie A,2021-2022
23,Antonio Junior Vacca,"€ 5,385","€ 280,000","€ 280,000",M,31,Italy,Venezia,Serie A,2021-2022
24,Domen Crnigoj,"€ 5,192","€ 270,000","€ 270,000",M,26,Slovenia,Venezia,Serie A,2021-2022
25,Luca Fiordilino,"€ 4,231","€ 220,000","€ 220,000",M,25,Italy,Venezia,Serie A,2021-2022
26,Lauri Ala-Myllymäki,"€ 2,885","€ 150,000","€ 150,000",F,24,Finland,Venezia,Serie A,2021-2022
27,Michael Svoboda,"€ 2,500","€ 130,000","€ 130,000",D,23,Austria,Venezia,Serie A,2021-2022
28,Bjarki Steinn Bjarkason,"€ 2,308","€ 120,000","€ 120,000",F,21,Iceland,Venezia,Serie A,2021-2022
29,Riccardo Pigozzo,€ 769,"€ 40,000","€ 40,000",K,21,Italy,Venezia,Serie A,2021-2022
30,Filippo Neri,€ 0,€ 0,€ 0,K,19,Italy,Venezia,Serie A,2021-2022
31,Gianmarco Zigoni,€ 0,€ 0,€ 0,F,30,Italy,Venezia,Serie A,2021-2022
32,Jean-Pierre Nsame,€ 0,€ 0,€ 0,F,28,Cameroon,Venezia,Serie A,2021-2022
33,Maximilian Ullmann,€ 0,€ 0,€ 0,D,25,Austria,Venezia,Serie A,2021-2022
34,Daan Heymans,€ 0,€ 0,€ 0,F,22,Belgium,Venezia,Serie A,2021-2022
35,Óttar Magnús Karlsson,€ 0,€ 0,€ 0,F,24,Iceland,Venezia,Serie A,2021-2022
36,Arnór Sigurdsson,€ 0,€ 0,€ 0,F,22,Iceland,Venezia,Serie A,2021-2022
37,Sergio Romero,€ 0,€ 0,€ 0,K,34,Argentina,Venezia,Serie A,2021-2022
38,Bruno Bertinato,€ 0,€ 0,€ 0,K,23,Brazil,Venezia,Serie A,2021-2022
39,Dor Peretz,€ 0,€ 0,€ 0,M,26,Israel,Venezia,Serie A,2021-2022
40,Tanner Tessmann,€ 0,€ 0,€ 0,M,20,United States,Venezia,Serie A,2021-2022
