,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
0,dk DEN,"MF,FW",25,37,37,"3,218",35.8,10,10,10,0,0,0,0,0.28,0.28,0.56,0.28,0.56,7.0,7.0,11.6,18.6,0.20,0.32,0.52,0.20,0.52,Christian Eriksen
1,fr FRA,GK,30,36,36,"3,240",36.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Hugo Lloris
2,be BEL,DF,30,36,36,"3,203",35.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.8,1.7,0.03,0.02,0.05,0.03,0.05,Jan Vertonghen
3,eng ENG,FW,24,37,35,"3,076",34.2,30,2,28,2,3,5,0,0.88,0.06,0.94,0.82,0.88,24.8,22.4,2.7,25.1,0.72,0.08,0.80,0.66,0.73,Harry Kane
4,eng ENG,"MF,FW",21,36,34,"2,958",32.9,9,10,9,0,0,7,0,0.27,0.30,0.58,0.27,0.58,9.1,9.1,8.2,17.3,0.28,0.25,0.53,0.28,0.53,Dele Alli
5,eng ENG,"MF,DF",23,34,32,"2,824",31.4,0,2,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,2.0,2.0,1.7,3.7,0.06,0.05,0.12,0.06,0.12,Eric Dier
6,co COL,DF,21,31,29,"2,534",28.2,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.7,0.02,0.00,0.02,0.02,0.02,Davinson Sánchez
7,kr KOR,FW,25,37,27,"2,317",25.7,12,6,12,0,0,0,0,0.47,0.23,0.70,0.47,0.70,10.2,10.2,6.2,16.4,0.40,0.24,0.64,0.40,0.64,Son Heung-min
8,wls WAL,DF,24,29,26,"2,324",25.8,2,6,2,0,0,3,0,0.08,0.23,0.31,0.08,0.31,1.1,1.1,3.2,4.3,0.04,0.12,0.16,0.04,0.16,Ben Davies
9,eng ENG,DF,26,24,21,"1,914",21.3,0,5,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,0.4,0.4,4.2,4.6,0.02,0.20,0.22,0.02,0.22,Kieran Trippier
10,be BEL,MF,30,28,21,"1,879",20.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,1.1,0.02,0.03,0.05,0.02,0.05,Mousa Dembélé
11,ci CIV,DF,24,17,16,"1,429",15.9,2,2,2,0,0,2,2,0.13,0.13,0.25,0.13,0.25,0.8,0.8,2.6,3.4,0.05,0.16,0.21,0.05,0.21,Serge Aurier
12,fr FRA,"MF,FW",27,32,15,"1,386",15.4,1,1,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,2.2,2.2,2.2,4.4,0.14,0.14,0.28,0.14,0.28,Moussa Sissoko
13,be BEL,DF,28,14,13,"1,178",13.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04,Toby Alderweireld
14,eng ENG,DF,27,10,9,800,8.9,0,1,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,0.6,0.6,0.6,1.2,0.07,0.07,0.14,0.07,0.14,Danny Rose
15,eng ENG,MF,21,16,9,774,8.6,0,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,0.1,0.1,0.5,0.6,0.01,0.06,0.07,0.01,0.07,Harry Winks
16,ke KEN,MF,26,18,8,846,9.4,1,0,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,0.5,0.5,0.2,0.7,0.05,0.02,0.07,0.05,0.07,Victor Wanyama
17,ar ARG,"FW,MF",25,25,7,843,9.4,2,2,2,0,0,4,0,0.21,0.21,0.43,0.21,0.43,3.4,3.4,2.0,5.4,0.37,0.21,0.57,0.37,0.57,Érik Lamela
18,br BRA,"FW,MF",24,6,2,210,2.3,0,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,0.2,0.2,0.3,0.4,0.08,0.11,0.18,0.08,0.18,Lucas Moura
19,eng ENG,DF,20,3,2,189,2.1,0,2,0,0,0,0,0,0.00,0.95,0.95,0.00,0.95,0.0,0.0,1.2,1.2,0.00,0.59,0.59,0.00,0.59,Kyle Walker-Peters
20,es ESP,"FW,MF",32,16,1,238,2.6,1,0,1,0,0,1,0,0.38,0.00,0.38,0.38,0.38,1.0,1.0,0.2,1.2,0.38,0.06,0.44,0.38,0.44,Fernando Llorente
21,ar ARG,GK,25,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Paulo Gazzaniga
22,nl NED,GK,33,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Michel Vorm
23,nl NED,DF,23,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Vincent Janssen
24,cm CMR,MF,22,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,,,,,,Georges-Kévin N'Koudou
25,us USA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Cameron Carter-Vickers
26,ar ARG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Juan Foyth
