,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
0,fr FRA,GK,30,37,37,"3,330",37.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Régis Gurtner
1,cd COD,"MF,FW",26,36,36,"3,083",34.3,6,6,6,0,1,3,0,0.18,0.18,0.35,0.18,0.35,4.2,3.4,6.1,9.5,0.12,0.18,0.30,0.10,0.28,Gaël Kakuta
2,fr FRA,MF,26,34,34,"2,948",32.8,1,3,1,0,0,7,1,0.03,0.09,0.12,0.03,0.12,0.9,0.9,2.3,3.1,0.03,0.07,0.10,0.03,0.10,Thomas Monconduit
3,bj BEN,DF,32,34,32,"2,921",32.5,0,1,0,0,0,9,0,0.00,0.03,0.03,0.00,0.03,0.6,0.6,0.2,0.9,0.02,0.01,0.03,0.02,0.03,Khaled Adénon
4,fr FRA,DF,23,32,32,"2,746",30.5,0,0,0,0,0,4,3,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,1.0,0.03,0.00,0.03,0.03,0.03,Prince-Désir Gouano
5,ml MLI,DF,27,32,31,"2,778",30.9,1,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,1.2,1.2,0.7,1.9,0.04,0.02,0.06,0.04,0.06,Bakaye Dibassy
6,sn SEN,FW,24,33,28,"2,472",27.5,13,1,11,2,2,8,0,0.47,0.04,0.51,0.40,0.44,10.2,8.6,1.5,10.0,0.37,0.05,0.42,0.31,0.37,Moussa Konaté
7,ma MAR,DF,26,26,24,"2,198",24.4,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,0.6,0.6,0.6,1.2,0.02,0.03,0.05,0.02,0.05,Oualid El Hajjam
8,za RSA,MF,24,26,24,"2,084",23.2,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,0.2,0.2,0.4,0.6,0.01,0.02,0.02,0.01,0.02,Bongani Zungu
9,tg TOG,"FW,MF",30,29,23,"1,825",20.3,3,3,3,0,0,1,0,0.15,0.15,0.30,0.15,0.30,3.7,3.7,1.1,4.9,0.18,0.06,0.24,0.18,0.24,Serge Gakpé
10,br BRA,DF,28,21,20,"1,727",19.2,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,0.5,0.5,0.9,1.4,0.03,0.05,0.07,0.03,0.07,Danilo Avelar
11,cd COD,"FW,MF",23,37,18,"1,867",20.7,4,3,3,1,1,3,0,0.19,0.14,0.34,0.14,0.29,2.7,1.9,1.6,3.5,0.13,0.08,0.21,0.09,0.17,Harrison Manzala
12,sn SEN,DF,32,19,18,"1,630",18.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.6,0.01,0.02,0.03,0.01,0.03,Issa Cissokho
13,co COL,"FW,MF",25,13,12,"1,032",11.5,2,0,2,0,0,0,0,0.17,0.00,0.17,0.17,0.17,2.3,2.3,0.7,3.0,0.20,0.06,0.26,0.20,0.26,Stiven Mendoza
14,ci CIV,FW,27,18,8,779,8.7,0,2,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,1.4,1.4,0.7,2.1,0.16,0.08,0.24,0.16,0.24,Lacina Traoré
15,mr MTN,MF,24,16,7,743,8.3,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Guessouma Fofana
16,fr FRA,"MF,DF",34,11,7,616,6.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.03,0.07,0.10,0.03,0.10,Julien Ielsch
17,cm CMR,MF,32,12,7,610,6.8,1,0,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,0.5,0.5,0.2,0.6,0.07,0.02,0.09,0.07,0.09,Guy Ngosso
