,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
0,de GER,DF,23,34,34,"3,060",34.0,5,2,5,0,0,2,0,0.15,0.06,0.21,0.15,0.21,3.8,3.8,1.0,4.8,0.11,0.03,0.14,0.11,0.14,Matthias Ginter
1,be BEL,"MF,FW",24,34,33,"2,939",32.7,10,5,5,5,6,1,0,0.31,0.15,0.46,0.15,0.31,14.0,9.3,6.6,15.8,0.43,0.20,0.63,0.28,0.48,Thorgan Hazard
2,ch SUI,DF,20,33,33,"2,914",32.4,2,2,2,0,0,6,0,0.06,0.06,0.12,0.06,0.12,1.6,1.6,1.8,3.4,0.05,0.06,0.11,0.05,0.11,Nico Elvedi
3,dk DEN,DF,24,32,32,"2,880",32.0,3,0,3,0,0,5,0,0.09,0.00,0.09,0.09,0.09,1.9,1.9,0.9,2.9,0.06,0.03,0.09,0.06,0.09,Jannik Vestergaard
4,de GER,"FW,MF",28,31,31,"2,727",30.3,6,3,6,0,0,5,0,0.20,0.10,0.30,0.20,0.30,6.3,6.3,6.1,12.4,0.21,0.20,0.41,0.21,0.41,Lars Stindl
5,ch SUI,GK,28,30,30,"2,625",29.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Yann Sommer
6,ch SUI,MF,20,30,29,"2,296",25.5,2,1,2,0,0,11,0,0.08,0.04,0.12,0.08,0.12,1.5,1.5,0.6,2.1,0.06,0.02,0.08,0.06,0.08,Denis Zakaria
7,se SWE,DF,31,28,28,"2,457",27.3,1,1,1,0,0,2,0,0.04,0.04,0.07,0.04,0.07,1.6,1.6,2.0,3.6,0.06,0.07,0.13,0.06,0.13,Oscar Wendt
8,de GER,MF,26,27,26,"2,151",23.9,3,0,3,0,0,5,0,0.13,0.00,0.13,0.13,0.13,1.7,1.7,0.5,2.1,0.07,0.02,0.09,0.07,0.09,Christoph Kramer
9,br BRA,FW,32,27,23,"2,071",23.0,9,1,8,1,1,0,0,0.39,0.04,0.43,0.35,0.39,6.7,5.9,3.9,9.8,0.29,0.17,0.46,0.26,0.42,Raffael
10,de GER,"MF,FW",26,23,12,"1,124",12.5,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,1.9,1.9,1.9,3.8,0.15,0.15,0.30,0.15,0.30,Patrick Herrmann
11,de GER,"MF,FW",25,23,12,"1,033",11.5,0,3,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,2.1,2.1,3.0,5.1,0.18,0.26,0.44,0.18,0.44,Jonas Hofmann
12,fr FRA,"MF,FW",17,24,9,"1,207",13.4,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,1.9,1.9,2.1,4.0,0.14,0.16,0.30,0.14,0.30,Mickaël Cuisance
13,it ITA,"MF,FW",24,17,9,786,8.7,0,3,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,0.8,0.8,2.4,3.1,0.09,0.27,0.36,0.09,0.36,Vincenzo Grifo
14,de GER,DF,27,13,8,727,8.1,0,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Tony Jantschke
15,us USA,"MF,DF",29,10,5,465,5.2,1,0,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,1.0,1.0,0.7,1.7,0.19,0.14,0.33,0.19,0.33,Fabian Johnson
