,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
0,it ITA,GK,25,37,37,"3,202",35.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Marco Sportiello
1,fr FRA,MF,24,36,36,"3,209",35.7,8,1,6,2,3,10,1,0.22,0.03,0.25,0.17,0.20,5.4,3.0,4.1,7.1,0.15,0.11,0.27,0.09,0.20,Jordan Veretout
2,ar ARG,FW,22,38,36,"2,998",33.3,14,4,14,0,0,3,0,0.42,0.12,0.54,0.42,0.54,14.3,14.3,2.9,17.2,0.43,0.09,0.52,0.43,0.52,Giovanni Simeone
3,it ITA,"FW,MF",19,36,35,"3,012",33.5,6,4,6,0,0,7,0,0.18,0.12,0.30,0.18,0.30,7.0,7.0,6.3,13.3,0.21,0.19,0.40,0.21,0.40,Federico Chiesa
4,it ITA,"MF,FW",22,35,35,"2,782",30.9,5,3,5,0,0,6,0,0.16,0.10,0.26,0.16,0.26,4.0,4.0,3.1,7.2,0.13,0.10,0.23,0.13,0.23,Marco Benassi
5,it ITA,DF,24,34,34,"2,980",33.1,1,4,1,0,0,7,0,0.03,0.12,0.15,0.03,0.15,1.6,1.6,4.5,6.1,0.05,0.14,0.18,0.05,0.18,Cristiano Biraghi
6,ar ARG,DF,26,34,34,"2,979",33.1,1,0,1,0,0,12,0,0.03,0.00,0.03,0.03,0.03,2.4,2.4,0.8,3.2,0.07,0.02,0.10,0.07,0.10,Germán Pezzella
7,hr CRO,MF,28,27,27,"2,351",26.1,2,1,2,0,0,9,2,0.08,0.04,0.11,0.08,0.11,2.0,2.0,2.8,4.9,0.08,0.11,0.19,0.08,0.19,Milan Badelj
8,it ITA,DF,30,25,25,"2,250",25.0,1,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,1.0,1.0,0.3,1.4,0.04,0.01,0.05,0.04,0.05,Davide Astori
9,fr FRA,DF,28,22,20,"1,608",17.9,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,1.1,1.1,0.00,0.06,0.06,0.00,0.06,Vincent Laurini
