,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
0,dz ALG,DF,25,34,34,"3,024",33.6,1,0,1,0,0,9,1,0.03,0.00,0.03,0.03,0.03,3.3,3.3,0.2,3.5,0.10,0.01,0.10,0.10,0.10,Aïssa Mandi
1,es ESP,GK,30,30,30,"2,700",30.0,0,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.0,0.0,0.7,0.7,0.00,0.02,0.02,0.00,0.02,Antonio Adán
2,es ESP,MF,21,34,30,"2,659",29.5,3,6,3,0,0,3,0,0.10,0.20,0.30,0.10,0.30,1.6,1.6,2.2,3.9,0.06,0.08,0.13,0.06,0.13,Fabián Ruiz Peña
3,es ESP,"MF,FW",36,35,29,"2,479",27.5,4,7,4,0,0,7,0,0.15,0.25,0.40,0.15,0.40,3.8,3.8,6.2,10.0,0.14,0.22,0.36,0.14,0.36,Joaquín
4,es ESP,DF,30,29,28,"2,373",26.4,0,6,0,0,0,7,0,0.00,0.23,0.23,0.00,0.23,0.7,0.7,2.8,3.5,0.03,0.11,0.13,0.03,0.13,Antonio Barragán
5,es ESP,"MF,DF",30,32,27,"2,410",26.8,1,0,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,1.1,1.1,0.6,1.6,0.04,0.02,0.06,0.04,0.06,Javi García
6,mx MEX,MF,30,29,25,"2,264",25.2,2,8,1,1,1,7,0,0.08,0.32,0.40,0.04,0.36,2.5,1.7,5.2,6.9,0.10,0.21,0.31,0.07,0.27,Andrés Guardado
7,id IDN,"DF,MF",25,25,24,"2,045",22.7,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.02,0.00,0.02,0.02,0.02,Jordi Amat
8,dk DEN,DF,23,24,23,"2,080",23.1,2,3,2,0,0,4,0,0.09,0.13,0.22,0.09,0.22,1.9,1.9,2.6,4.5,0.08,0.11,0.20,0.08,0.20,Riza Durmisi
9,es ESP,FW,28,31,23,"1,978",22.0,11,1,11,0,1,5,0,0.50,0.05,0.55,0.50,0.55,11.0,10.2,1.2,11.4,0.50,0.05,0.55,0.46,0.52,Sergio León
10,es ESP,"FW,MF",25,32,16,"1,693",18.8,4,3,4,0,0,2,0,0.21,0.16,0.37,0.21,0.37,2.2,2.2,3.7,6.0,0.12,0.20,0.32,0.12,0.32,Cristian Tello
11,es ESP,DF,26,16,16,"1,420",15.8,1,0,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.7,1.5,0.05,0.04,0.09,0.05,0.09,Marc Bartra
12,dz ALG,"MF,FW",27,27,15,"1,360",15.1,2,3,2,0,0,2,0,0.13,0.20,0.33,0.13,0.33,0.8,0.8,2.5,3.2,0.05,0.16,0.21,0.05,0.21,Ryad Boudebouz
13,ma MAR,DF,28,15,14,"1,257",14.0,3,0,3,0,0,7,0,0.21,0.00,0.21,0.21,0.21,0.5,0.5,0.1,0.6,0.04,0.00,0.04,0.04,0.04,Zouhair Feddal
14,es ESP,MF,23,24,14,"1,252",13.9,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,1.4,1.4,1.5,2.9,0.10,0.11,0.21,0.10,0.21,Víctor Camarasa
15,es ESP,DF,20,14,14,"1,189",13.2,2,2,2,0,0,4,0,0.15,0.15,0.30,0.15,0.30,1.3,1.3,1.5,2.8,0.10,0.11,0.21,0.10,0.21,Junior Firpo
16,es ESP,FW,23,15,12,"1,060",11.8,7,0,7,0,0,3,0,0.59,0.00,0.59,0.59,0.59,4.6,4.6,1.3,5.9,0.39,0.11,0.50,0.39,0.50,Loren Morón
17,es ESP,"DF,MF",21,14,10,993,11.0,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.5,0.8,0.03,0.04,0.07,0.03,0.07,Francis Guerrero
18,py PAR,FW,21,17,8,853,9.5,8,0,8,0,0,0,0,0.84,0.00,0.84,0.84,0.84,5.1,5.1,0.1,5.2,0.54,0.01,0.55,0.54,0.55,Antonio Sanabria
19,ro ROU,DF,25,6,5,423,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Alin Toșca
20,es ESP,GK,22,5,4,412,4.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Pedro López
21,es ESP,GK,34,4,4,308,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Dani Giménez
22,co COL,MF,22,7,4,304,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.03,0.06,0.03,0.06,Juanjo Narváez
23,es ESP,FW,36,10,3,359,4.0,1,1,0,1,1,0,0,0.25,0.25,0.50,0.00,0.25,1.8,1.1,0.6,1.7,0.46,0.14,0.60,0.28,0.42,Rubén Castro
24,es ESP,"MF,FW",20,7,3,251,2.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.09,0.05,0.14,0.09,0.14,Matías Nahuel
25,cr CRC,"MF,FW",25,8,2,214,2.4,2,1,2,0,0,1,0,0.84,0.42,1.26,0.84,1.26,1.1,1.1,0.5,1.6,0.46,0.22,0.68,0.46,0.68,Joel Campbell
26,es ESP,DF,23,3,1,134,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.03,0.20,0.23,0.03,0.23,Rafa Navarro
27,es ESP,"DF,FW",19,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.12,0.00,0.12,0.12,0.12,Julio Gracia
28,es ESP,MF,21,2,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Aitor Ruibal
29,es ESP,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Rebollo
30,es ESP,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Redru
31,es ESP,DF,28,35,34,"3,057",34.0,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,1.3,1.3,3.9,5.2,0.04,0.11,0.15,0.04,0.15,Juanfran
32,es ESP,FW,28,35,31,"2,797",31.1,8,6,5,3,4,3,0,0.26,0.19,0.45,0.16,0.35,9.8,6.6,10.9,17.5,0.31,0.35,0.66,0.21,0.56,Lucas Pérez
33,br BRA,MF,26,31,31,"2,639",29.3,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,2.6,2.6,1.6,4.1,0.09,0.05,0.14,0.09,0.14,Guilherme
34,pt POR,DF,32,30,29,"2,622",29.1,1,1,1,0,0,12,0,0.03,0.03,0.07,0.03,0.07,0.5,0.5,2.1,2.6,0.02,0.07,0.09,0.02,0.09,Luisinho
35,es ESP,GK,33,28,27,"2,478",27.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Rubén
