,firstName,middleName,lastName,currentTeamId,weight,height,foot,country,cou_code,role,city,name,officialName,wyId
0,Harun,,Tekin,4502,78,187,right,Turkey,TR,Goalkeeper,,,,
1,Malang,,Sarr,3775,73,182,left,France,FR,Defender,Nice,Nice,O.G.C. Nice Côte d'Azur,3775.0
2,Over,,Mandanda,3772,72,176,,France,FR,Goalkeeper,Le Haillan,Bordeaux,FC Girondins de Bordeaux,3772.0
3,Alfred John Momar,,N'Diaye,683,82,187,right,France,FR,Midfielder,Malaga,Málaga,Málaga Club de Fútbol,683.0
4,Ibrahima,,Konaté,2975,84,192,right,France,FR,Defender,Leipzig,RB Leipzig,Rasen Ballsport Leipzig,2975.0
5,Jasper,,Cillessen,676,83,185,right,Netherlands,NL,Goalkeeper,Barcelona,Barcelona,FC Barcelona,676.0
6,Toby,,Alderweireld,1624,91,187,right,Belgium,BE,Defender,London,Tottenham Hotspur,Tottenham Hotspur FC,1624.0
7,Jan,,Vertonghen,1624,88,189,left,Belgium,BE,Defender,London,Tottenham Hotspur,Tottenham Hotspur FC,1624.0
8,Alexander,,Djiku,3783,74,182,right,France,FR,Defender,Caen,Caen,Stade Malherbe Caen,3783.0
9,Christian ,,Dannemann Eriksen,1624,76,180,right,Denmark,DK,Midfielder,London,Tottenham Hotspur,Tottenham Hotspur FC,1624.0
10,Marcel,,Sabitzer,2975,74,177,right,Austria,AT,Midfielder,Leipzig,RB Leipzig,Rasen Ballsport Leipzig,2975.0
11,Kolbeinn,,Sigþórsson,3770,84,186,right,Iceland,IS,Forward,La Chapelle-sur-Erdre,Nantes,FC Nantes,3770.0
12,Charles,,Traoré,3795,74,180,left,Mali,ML,Defender,Troyes,Troyes,Espérance Sportive Troyes Aube Champagne,3795.0
13,Niklas,,Moisander,2443,75,183,left,Finland,FI,Defender,Bremen,Werder Bremen,SV Werder Bremen,2443.0
14,Charlison,,Benschop,2455,91,191,right,Cura\u00e7ao,CW,Forward,Hannover,Hannover 96,Hannover 96,2455.0
15,Johann ,,Berg Guðmunds­son,1646,77,186,left,Iceland,IS,Midfielder,"Burnley, Lancashire",Burnley,Burnley FC,1646.0
