1,León,8,7,1,0,15,7,8,22,2.75,9,5,3,1,12,7,5,18,2
2,UNAM,9,5,4,0,19,8,11,19,2.11,8,3,4,1,10,9,1,13,1.63
3,América,9,6,2,1,19,9,10,20,2.22,8,3,3,2,12,13,-1,12,1.5
4,Cruz Azul,8,5,1,2,12,6,6,16,2,9,4,1,4,11,10,1,13,1.44
5,Monterrey,8,4,3,1,13,9,4,15,1.88,9,4,2,3,13,12,1,14,1.56
6,UANL,9,4,4,1,15,8,7,16,1.78,8,3,3,2,12,8,4,12,1.5
7,Guadalajara,9,4,3,2,11,9,2,15,1.67,8,3,2,3,9,8,1,11,1.38
8,Santos,8,5,2,1,14,5,9,17,2.13,9,2,2,5,10,15,-5,8,0.89
9,Pachuca,9,3,3,3,11,10,1,12,1.33,8,3,4,1,7,4,3,13,1.63
10,Necaxa,9,4,1,4,10,12,-2,13,1.44,8,3,2,3,6,8,-2,11,1.38
11,Toluca,8,5,1,2,14,9,5,16,2,9,1,2,6,9,19,-10,5,0.56
12,Puebla,8,2,2,4,12,13,-1,8,1,9,4,0,5,10,12,-2,12,1.33
13,FC Juárez,9,3,4,2,6,6,0,13,1.44,8,1,3,4,10,13,-3,6,0.75
14,Mazatlán FC,8,3,2,3,11,13,-2,11,1.38,9,1,2,6,13,18,-5,5,0.56
15,Tijuana,9,4,2,3,9,9,0,14,1.56,8,0,1,7,3,18,-15,1,0.13
16,Atlas,8,2,1,5,5,8,-3,7,0.88,9,1,4,4,8,12,-4,7,0.78
17,Querétaro,8,3,2,3,15,11,4,11,1.38,9,0,2,7,8,17,-9,2,0.22
18,Atlético,9,2,2,5,9,18,-9,8,0.89,8,1,0,7,7,17,-10,3,0.38
